14	57127241	1996	1997	1998	1999	9992	9992	9993	9993	3	4	4	5	9992	9992	5	3	4	4	5	9992	9992	5	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	2.5	0.5	2.5	1	9992	9992	1.625	4	4	2	9994	9992	9992	3.333	3	3.167	2.917	3.083	9992	9992	3.042	0	0.5	0	0	9992	9992	0.125	0	0	0	9994	9992	9992	0	0	0.083	0	0	9992	9992	0.021
15	57129567	1996	1997	1998	1999	9992	9992	9993	9993	4	4	4	0	9992	9992	4	4	4	4	0	9992	9992	4	0	0	3	2	9992	9992	3	0	0	0	2	9992	9992	2	1.5	0.5	0.5	9994	9992	9992	0.833	9994	9994	0	1	9992	9992	0.333	1	0.5	1.063	0.667	9992	9992	0.843	0	0.5	0.5	9994	9992	9992	0.333	9994	9994	1	0	9992	9992	0.667	0.333	0.643	0.438	0.333	9992	9992	0.451
16	57131909	1996	1997	1998	1999	9992	9992	9993	9993	4	6	0	2	9992	9992	6	4	6	0	0	9992	9992	6	3	3	5	0	9992	9992	5	0	3	5	0	9992	9992	5	1.333	0.5	9994	0	9992	9992	0.833	0	1.5	1	9994	9992	9992	1	1.375	1.5	1.5	1.375	9992	9992	1.433	0.333	0.5	9994	1	9992	9992	0.5	1	0	0	9994	9992	9992	0.25	0.25	0.125	0.167	0.25	9992	9992	0.2
17	57133772	1996	1997	1998	1999	9992	9992	9993	9993	4	5	6	8	9992	9992	8	4	5	6	8	9992	9992	8	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	3.5	3.5	2	2.5	9992	9992	2.875	3.5	2.5	1.5	9994	9992	9992	2.5	3.75	3.167	2.5	3.417	9992	9992	3.208	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
18	57136630	1994	1995	1996	1997	9992	9992	1	9	4	5	6	8	9992	9992	8	4	5	6	8	9992	9992	8	2	3	4	0	9992	9992	4	2	3	4	0	9992	9992	4	4	3.5	2.5	1.5	9992	9992	2.875	4	3	4	9994	9992	9992	3.667	3.75	3.583	3.583	2.833	9992	9992	3.438	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
19	57138056	1995	1996	1997	9992	9992	9992	9993	9993	4	4	0	9992	9992	9992	4	0	0	0	9992	9992	9992	0	3	3	0	9992	9992	9992	3	3	0	0	9992	9992	9992	3	0	0	9994	9992	9992	9992	0	1	0	9994	9992	9992	9992	0.667	0.462	0	0	9992	9992	9992	0.3	1	1	9994	9992	9992	9992	1	0.5	1	9994	9992	9992	9992	0.667	0.769	1	1	9992	9992	9992	0.85
20	57139880	1996	1997	1998	1999	9992	9992	9993	9993	4	5	8	8	9992	9992	8	4	5	8	8	9992	9992	8	0	3	4	6	9992	9992	6	0	3	4	6	9992	9992	6	2.5	3.5	3	1.5	9992	9992	2.625	9994	3	2.5	2.5	9992	9992	2.667	3.143	3.385	3.143	2.9	9992	9992	3.157	0	0	0	0	9992	9992	0	9994	0	0	0	9992	9992	0	0	0	0	0	9992	9992	0
21	57141051	1994	1995	1996	1997	9992	9992	1	9	2	4	5	6	9992	9992	6	2	4	5	6	9992	9992	6	2	3	2	0	9992	9992	3	2	3	2	0	9992	9992	3	4	4	3	4	9992	9992	3.714	3.5	2.5	3	9994	9992	9992	3	3.667	3.813	3.375	3.75	9992	9992	3.643	0	0	0	0	9992	9992	0	0	0	0	9994	9992	9992	0	0	0	0	0	9992	9992	0
22	57141800	1996	1997	1998	1999	9992	9992	9993	9993	2	4	5	2	9992	9992	5	2	4	5	2	9992	9992	5	2	2	0	0	9992	9992	2	2	2	0	0	9992	9992	2	4	1.5	2	3	9992	9992	2.667	1	2.5	9994	9994	9992	9992	1.75	2.833	1.583	0.929	2.067	9992	9992	1.83	0	0	0	0	9992	9992	0	0	0	9994	9994	9992	9992	0	0	0.25	0.571	0.2	9992	9992	0.264
23	57141919	1996	1997	1998	1999	9992	9992	9993	9993	4	4	9992	6	9992	9992	6	4	0	9992	6	9992	9992	6	2	2	9992	0	9992	9992	2	2	0	9992	0	9992	9992	2	1	0	9992	3	9992	9992	1.25	1	0	9992	9994	9992	9992	0.5	1	0	9992	3	9992	9992	0.72	0.5	1	9992	0	9992	9992	0.5	0	1	9992	9994	9992	9992	0.5	0.417	1	9992	0	9992	9992	0.64
