35	2	1	2	2	1	0	2	3	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	2	1	1	1	0	1	1	1	1	0	0	0	0	0	6	6	1.0	1	1	1	1	1	1	99	1	99	1	1	946	6	1	0	0	0	0	1	1	99	1	0	2	8	2	0	0	1	1	99	1	99	1	1	2	1	1	1	0	1	0	1	1	6	1	6	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	0
34	1	4	3	3	1	0	2	3	1	6	0	2	0	3	2	2	1	1	1	1	1	1	1	1	1	2	4	1	1	2	1	1	1	1	1	1	6	1	1	1	1	4	4	2	2	4	6	6	1.0	1	1	99	1	1	1	2	1	2	2	1	18	1	1	2	0	2	0	1	1	1	1	1	0	7	1	0	1	0	1	2	1	2	2	1	0	1	1	1	0	1	0	0	1	5	1	5	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	0
37	2	3	3	3	1	0	4	2	1	6	0	1	1	3	4	5	1	1	0	1	1	1	1	1	1	2	4	1	1	1	1	2	1	1	1	1	2	99	1	1	1	3	4	1	1	1	2	1	1.0	1	1	1	1	1	1	2	1	2	1	1	19	1	3	2	1	0	0	99	1	1	2	1	0	7	1	0	1	0	1	2	1	2	1	1	0	1	1	1	0	1	0	1	1	6	1	6	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00	1.00	0
37	2	3	3	3	1	0	4	2	1	6	0	1	1	3	4	5	1	1	0	1	1	1	1	1	1	2	4	1	1	1	1	2	1	1	1	1	2	99	1	1	1	4	4	1	1	1	2	1	1.0	1	1	1	1	1	1	2	1	2	1	1	1	1	3	0	0	0	0	1	1	1	2	1	0	8	2	0	0	1	1	2	1	2	1	1	0	1	1	1	0	1	0	1	1	6	1	6	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00	1.00	0
35	2	2	3	3	3	0	0	0	0	6	3	0	0	0	8	1	1	1	0	1	1	1	1	1	1	3	99	1	1	3	2	2	1	2	1	1	7	1	1	1	1	5	3	2	4	4	6	6	1.0	1	1	1	1	1	1	2	1	2	2	1	13	1	3	2	1	0	0	1	1	1	1	1	0	8	2	0	0	1	1	2	1	2	2	1	0	1	1	1	0	1	0	0	1	5	1	5	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	3.00	3.00	0
29	2	5	3	2	1	0	4	2	1	2	0	2	0	4	4	5	1	1	0	1	1	1	2	1	1	2	5	1	1	2	1	2	2	2	2	1	2	1	1	1	1	5	4	1	2	4	2	1	1.0	1	1	1	1	1	1	2	1	2	2	1	17	1	3	2	0	1	0	1	1	1	1	1	0	8	2	0	0	1	1	2	1	2	2	1	0	1	1	1	0	1	0	0	1	5	1	5	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00	1.00	0
48	1	2	3	3	1	0	2	3	1	6	0	1	1	3	6	2	1	1	1	1	1	1	1	1	1	3	99	1	1	2	1	2	2	2	2	1	6	1	1	1	1	4	4	2	3	4	8	8	1.0	1	1	1	1	1	1	2	1	2	1	1	39	1	2	2	1	0	0	1	1	1	3	1	0	8	2	0	0	1	1	2	1	2	1	1	0	1	1	1	0	1	0	1	1	6	1	6	1.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	1.00	0
41	2	5	3	3	1	0	3	2	1	6	0	2	0	4	2	4	1	1	0	1	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	1	6	1	1	1	1	5	2	1	1	2	2	1	1.0	1	1	1	1	1	1	2	1	2	2	1	54	1	3	2	0	1	0	1	1	1	2	1	0	8	2	0	0	1	1	2	1	2	2	1	0	1	1	1	0	1	0	0	1	5	1	5	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00	1.00	0
15	1	5	1	1	1	0	1	3	1	6	0	99	99	4	99	99	1	1	1	1	1	1	2	1	1	2	3	2	0	0	1	1	1	99	1	1	4	1	1	1	1	5	3	1	2	3	6	6	1.0	1	1	1	1	1	1	2	1	2	2	1	62	1	2	2	2	1	1	1	1	1	0	1	0	8	2	0	0	1	1	2	1	2	2	1	0	1	1	1	0	1	0	0	1	5	1	5	1.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	2.00	1.00	0
37	2	1	3	1	1	0	3	2	1	6	0	2	0	4	99	99	1	1	0	1	1	1	1	1	1	2	3	2	0	0	2	1	2	1	1	1	5	1	1	1	99	4	4	1	1	3	1	1	1.0	1	1	1	1	1	1	1	1	99	1	1	216	1	3	2	0	2	0	1	1	1	2	0	0	8	2	0	0	1	1	1	1	99	1	1	2	1	1	0	1	1	0	1	1	6	1	6	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00	1.00	0
